Sl.No,State/UT,UR % - 2012-13 - SC,UR % - 2012-13 - ST,UR % - 2013-14 - SC,UR % - 2013-14 - ST,UR % - 2015-16 - SC,UR % - 2015-16 - ST
1,Andhra Pradesh,2.5,0.7,4.2,1.3,1.9,3.9
2,Aru5.3chal Pradesh,5.4,10.4,11.2,5.6,4.2,4
3,Assam,5,3.3,2.1,3.2,4,3
4,Bihar,4,3.3,3.1,4.9,2.1,7.4
5,Chhattisgarh,1.2,0.7,1.8,1.7,0.9,0.3
6,Delhi,7.4,3.8,3.6,7.5,3.6,12.3
7,Goa,4.5,8.7,4.8,5.1,34.6,11.3
8,Gujarat,2.4,2.1,0.9,0.4,0.8,0.8
9,Harya5.3,3.8,0.9,2.5,2.8,2.6,3.1
10,Himachal Pradesh,1.9,4.1,0.6,1.2,14.8,0.7
11,Jammu And Kashmir,12.3,4.2,8.3,13.5,1.6,4.9
12,Jharkhand,5.4,5.5,1.4,1,1.4,1.5
13,Kar5.3taka,1.5,2,1.2,2.2,1.3,1.6
14,Kerala,7.9,7.1,8.9,4.9,9.4,18.3
15,Madhya Pradesh,1.5,1.2,1.6,1.2,2.8,3.4
16,Maharashtra,2.7,2.8,2.7,2.3,1.7,0.6
17,Manipur,0.7,2,3.6,4.1,3.1,3.3
18,Meghalaya,5.3,3.6,5.3,2.2,1.7,4.3
19,Mizoram,2.5,2.2,3.4,1.8,0.3,1.7
20,5.3galand,5.3,6.7,19.3,6.3,8.2,5.7
21,Odisha,3.4,3.4,3.5,1.9,3.4,2
22,Punjab,5.4,3.5,5.1,1.3,5.6,9.6
23,Rajasthan,2.2,1.1,2.3,2.7,2.2,2.3
24,Sikkim,16.5,10.8,2.4,8,8.7,12.5
25,Tamil 5.3du,3.8,3.3,3.6,0.9,4.5,1.9
26,Telanga5.3,5.3,5.3,1.5,1,1.2,0.4
27,Tripura,7.6,2.9,7.5,3.5,11.2,5.4
28,Uttarakhand,6.8,4,7,11.1,6.3,8.6
29,Uttar Pradesh,3.5,9.9,3,3.6,5.2,2.9
30,West Bengal,5.9,5.1,4.3,2.9,3.4,2.6
31,Andaman and Nicobar Islands,6.1,2.4,5.3,5.3,13.4,20.2
32,Chandigarh,15.1,1.6,8.7,5.3,4.2,5.7
33,Dadra and 5.3gar Haveli,5.3,2.1,5.3,6.5,3.2,3.5
34,Daman and Diu,18.3,5.3,23,5.3,5.3,2.7
35,Lakshadweep,5.3,10.6,5.3,11.1,5.3,5.1
36,Puducherry,8.4,5.3,20.8,5.3,4.5,5.3
